gvkey,company,date,alpha,beta,delta,mu,A_used,L_used,PD_P_1y,PD_Q_1y,q_feasible,train_end_date,train_end_anchor,oos_end_anchor,training_end
101204,SANOFI,2015-02-20,2.25,-0.00032923677528727834,0.0009784455776452043,7.900788473707623e-05,154429929946.96942,39051000000.0,0.0003276896093430524,0.0012473458334017324,True,2014-12-26,2014-12-31,2015-03-31,0
101204,SANOFI,2015-02-27,2.25,-0.00032923677528727834,0.0009784455776452043,7.900788473707623e-05,154855961204.81476,39051000000.0,0.00032481164278972893,0.0012810927382382225,True,2014-12-26,2014-12-31,2015-03-31,0
101204,SANOFI,2015-03-06,2.25,-0.00032923677528727834,0.0009784455776452043,7.900788473707623e-05,154781951213.95538,39051000000.0,0.00032530910223524867,0.0012625579963410967,True,2014-12-26,2014-12-31,2015-03-31,0
101204,SANOFI,2015-03-13,2.25,-0.00032923677528727834,0.0009784455776452043,7.900788473707623e-05,159744709773.05133,41124000000.0,0.0003470467777923177,0.0013464224186614424,True,2014-12-26,2014-12-31,2015-03-31,0
101204,SANOFI,2015-03-20,2.25,-0.00032923677528727834,0.0009784455776452043,7.900788473707623e-05,164754478051.74307,41124000000.0,0.00031434985303970046,0.001242394608124372,True,2014-12-26,2014-12-31,2015-03-31,0
101204,SANOFI,2015-03-27,2.25,-0.00032923677528727834,0.0009784455776452043,7.900788473707623e-05,162203451843.325,41124000000.0,0.00033044375407470354,0.0013097798319774525,True,2014-12-26,2014-12-31,2015-03-31,0
101336,SCHNEIDER ELECTRIC S E,2014-03-28,2.25,0.00011377879508911768,0.0010809292985395546,0.0019137565025453495,56932380678.70638,19625000000.0,0.0007390026631573054,0.058862066507862264,True,2014-03-28,2014-03-31,2014-06-30,1
101336,SCHNEIDER ELECTRIC S E,2014-04-04,2.25,0.00011377879508911768,0.0010809292985395546,0.0019137565025453495,57739315218.5624,19625000000.0,0.0007049026054459196,0.05825824006203004,True,2014-03-28,2014-03-31,2014-06-30,0
101336,SCHNEIDER ELECTRIC S E,2014-04-11,2.25,0.00011377879508911768,0.0010809292985395546,0.0019137565025453495,56797730170.64338,19625000000.0,0.0007449124430140132,0.05886595036231538,True,2014-03-28,2014-03-31,2014-06-30,0
101336,SCHNEIDER ELECTRIC S E,2014-04-18,2.25,0.00011377879508911768,0.0010809292985395546,0.0019137565025453495,57703579476.62035,19625000000.0,0.0007063664742128219,0.058502204499271376,True,2014-03-28,2014-03-31,2014-06-30,0
101336,SCHNEIDER ELECTRIC S E,2014-04-25,2.25,0.00011377879508911768,0.0010809292985395546,0.0019137565025453495,58521834435.210815,19625000000.0,0.0006738665771529492,0.057893463548853843,True,2014-03-28,2014-03-31,2014-06-30,0
101336,SCHNEIDER ELECTRIC S E,2014-05-02,2.25,0.00011377879508911768,0.0010809292985395546,0.0019137565025453495,58608027795.007416,19625000000.0,0.0006705635889803872,0.058090609073891276,True,2014-03-28,2014-03-31,2014-06-30,0
101336,SCHNEIDER ELECTRIC S E,2014-05-09,2.25,0.00011377879508911768,0.0010809292985395546,0.0019137565025453495,59230513233.66198,19625000000.0,0.0006473574717547248,0.05791655750772039,True,2014-03-28,2014-03-31,2014-06-30,0
