gvkey,window_idx,param,ac_1,geweke_z,abs_geweke_z,flag_geweke_2,flag_ac1_03
100022,11,theta,-0.009594500507457412,-1.6799768651290419,1.6799768651290419,False,False
100022,12,mu,-0.0380261599707839,0.6414643151193787,0.6414643151193787,False,False
100022,12,sigma,-0.009308443941851256,-0.01706832514983979,0.01706832514983979,False,False
100022,12,theta,-0.0377974654886978,0.6416787970546,0.6416787970546,False,False
100022,13,mu,-0.009179368651786205,-1.6388474182554338,1.6388474182554338,False,False
100022,13,sigma,0.013071313972109398,1.5451697248543288,1.5451697248543288,False,False
100022,13,theta,-0.009128003911514441,-1.6470378303697866,1.6470378303697866,False,False
100022,14,mu,0.017312978787651315,-0.0696737620198104,0.0696737620198104,False,False
100022,14,sigma,-0.009829677094742138,-0.3855839591607995,0.3855839591607995,False,False
100022,14,theta,0.017428612197842683,-0.06750715482959559,0.06750715482959559,False,False
100022,15,mu,-0.010525117349916875,-0.15178525391724865,0.15178525391724865,False,False
100022,15,sigma,-0.025663585222177675,0.344277300473919,0.344277300473919,False,False
100022,15,theta,-0.010185588416448437,-0.15392346925085698,0.15392346925085698,False,False
100022,16,mu,0.0045804253068780195,-0.7118694632618359,0.7118694632618359,False,False
100022,16,sigma,0.015390946405065197,-1.7002171620545383,1.7002171620545383,False,False
100022,16,theta,0.004118134099639545,-0.702249166410803,0.702249166410803,False,False
100022,17,mu,0.010949380004961439,-0.5560213239054593,0.5560213239054593,False,False
100022,17,sigma,0.014719462434759996,0.4939812402192723,0.4939812402192723,False,False
100022,17,theta,0.0109297133602747,-0.5603576491432457,0.5603576491432457,False,False
100022,18,mu,-0.0060907174503081795,-1.4428793482399271,1.4428793482399271,False,False
100022,18,sigma,-0.002227347191353636,-0.18467553370840425,0.18467553370840425,False,False
100022,18,theta,-0.006097781015815566,-1.4404766426585494,1.4404766426585494,False,False
100022,19,mu,0.01871641515051472,0.7986223575056539,0.7986223575056539,False,False
100022,19,sigma,0.004754595697448982,-0.6234663239358514,0.6234663239358514,False,False
100022,19,theta,0.018903556179700978,0.8044734556805125,0.8044734556805125,False,False
100022,20,mu,6.906239638171453e-05,-1.432936883379077,1.432936883379077,False,False
100022,20,sigma,0.026826096157191906,-0.4039907770755483,0.4039907770755483,False,False
100022,20,theta,0.0002763833227678695,-1.4300806565610449,1.4300806565610449,False,False
100022,21,mu,0.0002439218194927489,0.23739936535384298,0.23739936535384298,False,False
100022,21,sigma,-0.011362712830161334,-1.2902545985100302,1.2902545985100302,False,False
100022,21,theta,0.0007546380690425911,0.24887289130911514,0.24887289130911514,False,False
100022,22,mu,0.002263418787831293,0.2156786741836485,0.2156786741836485,False,False
100022,22,sigma,0.02805098426635562,0.26202510886119995,0.26202510886119995,False,False
100022,22,theta,0.002166474562465756,0.21118946451172568,0.21118946451172568,False,False
100022,23,mu,0.0189845561090349,1.1985457414555933,1.1985457414555933,False,False
100022,23,sigma,0.012084907162410147,0.12249664970151176,0.12249664970151176,False,False
100022,23,theta,0.019102051263039613,1.1983550873091298,1.1983550873091298,False,False
100022,24,mu,0.04451965320035769,-0.6275163877476854,0.6275163877476854,False,False
100022,24,sigma,-0.0020490926166043862,-0.43492246794808237,0.43492246794808237,False,False
100022,24,theta,0.044560828369448593,-0.6237214460206384,0.6237214460206384,False,False
