date,A_hat_oos,theta_oos,L_proxy,PD_P,PD_Q,alpha,beta1,delta,beta0,em_converged,em_n_iter,window_train_start,window_train_end,window_oos_start,window_oos_end,gvkey,window_idx,ok,msg
2014-07-04,160023488923.9403,-15.196424905954586,102725000000.0,1.130893992404041e-14,1.8628149900355613e-11,475.10760217715784,239.73328673598937,1.6035454901226078,-0.8625841384991602,True,3,2012-07-06,2014-06-27,2014-07-04,2014-09-26,100022,1,True,ok
2014-07-11,158174427438.67224,-15.206439514155363,102725000000.0,4.558148822787193e-14,6.34326128933974e-11,475.10760217715784,239.73328673598937,1.6035454901226078,-0.8625841384991602,True,3,2012-07-06,2014-06-27,2014-07-04,2014-09-26,100022,1,True,ok
2014-07-18,159093182433.28543,-15.190054290119036,102725000000.0,2.285879697277993e-14,3.442496932489709e-11,475.10760217715784,239.73328673598937,1.6035454901226078,-0.8625841384991602,True,3,2012-07-06,2014-06-27,2014-07-04,2014-09-26,100022,1,True,ok
2014-07-25,159519549743.7928,-15.211705149265242,102725000000.0,1.656698572481449e-14,2.6215571263294655e-11,475.10760217715784,239.73328673598937,1.6035454901226078,-0.8625841384991602,True,3,2012-07-06,2014-06-27,2014-07-04,2014-09-26,100022,1,True,ok
2014-08-01,155505148338.59192,-15.213490979430418,102725000000.0,3.2918442574709505e-13,3.566860761258413e-10,475.10760217715784,239.73328673598937,1.6035454901226078,-0.8625841384991602,True,3,2012-07-06,2014-06-27,2014-07-04,2014-09-26,100022,1,True,ok
2014-08-08,7793409872105.391,-15.21456100290871,102725000000.0,0.0,0.0,475.10760217715784,239.73328673598937,1.6035454901226078,-0.8625841384991602,True,3,2012-07-06,2014-06-27,2014-07-04,2014-09-26,100022,1,True,ok
2014-08-15,7793368274639.738,-15.213668594916214,102725000000.0,0.0,0.0,475.10760217715784,239.73328673598937,1.6035454901226078,-0.8625841384991602,True,3,2012-07-06,2014-06-27,2014-07-04,2014-09-26,100022,1,True,ok
2014-08-22,156369515842.6969,-15.220413959739261,102725000000.0,1.7434391439713725e-13,2.0575618983553688e-10,475.10760217715784,239.73328673598937,1.6035454901226078,-0.8625841384991602,True,3,2012-07-06,2014-06-27,2014-07-04,2014-09-26,100022,1,True,ok
2014-08-29,156118657588.05887,-15.2717471322442,102725000000.0,2.0975813440787466e-13,2.470406133324922e-10,475.10760217715784,239.73328673598937,1.6035454901226078,-0.8625841384991602,True,3,2012-07-06,2014-06-27,2014-07-04,2014-09-26,100022,1,True,ok
2014-09-05,158241281107.27664,-15.361840980689891,102725000000.0,4.335601266219639e-14,6.499694827265565e-11,475.10760217715784,239.73328673598937,1.6035454901226078,-0.8625841384991602,True,3,2012-07-06,2014-06-27,2014-07-04,2014-09-26,100022,1,True,ok
2014-09-12,156650274216.52457,-15.334700596486897,102725000000.0,1.4168645155531207e-13,1.8036209155428454e-10,475.10760217715784,239.73328673598937,1.6035454901226078,-0.8625841384991602,True,3,2012-07-06,2014-06-27,2014-07-04,2014-09-26,100022,1,True,ok
2014-09-19,156390604490.47116,-15.34495880615495,102725000000.0,1.7165158535215886e-13,2.1407089850675388e-10,475.10760217715784,239.73328673598937,1.6035454901226078,-0.8625841384991602,True,3,2012-07-06,2014-06-27,2014-07-04,2014-09-26,100022,1,True,ok
2014-09-26,7799797841428.516,-15.351592429004825,102725000000.0,0.0,0.0,475.10760217715784,239.73328673598937,1.6035454901226078,-0.8625841384991602,True,3,2012-07-06,2014-06-27,2014-07-04,2014-09-26,100022,1,True,ok
2014-04-04,112294765669.68852,-11.695000861603603,30464000000.0,2.9909348464912837e-30,5.087536359978275e-23,3895.8863518728167,3467.5284881578245,7.220166956450585,-13.880658431616627,False,10,2012-04-06,2014-03-28,2014-04-04,2014-06-27,100080,0,True,ok
2014-04-11,107179774816.31488,-11.701649317503325,30464000000.0,1.8327622793732773e-28,1.8241190710480913e-21,3895.8863518728167,3467.5284881578245,7.220166956450585,-13.880658431616627,False,10,2012-04-06,2014-03-28,2014-04-04,2014-06-27,100080,0,True,ok
2014-04-18,107828438406.8385,-11.707997851467098,30464000000.0,1.0847006000975736e-28,1.16781169687252e-21,3895.8863518728167,3467.5284881578245,7.220166956450585,-13.880658431616627,False,10,2012-04-06,2014-03-28,2014-04-04,2014-06-27,100080,0,True,ok
