gvkey,date,sigma_hat,mu_hat,V_0,V_used,B_used,PD_Q,PD_P,train_start_date,train_end_date,training_end
203053,2024-04-26,0.2857509402004726,0.3309489270002628,0.0,253161283182.5269,5244000000.0,4.5033964999661684e-42,1.8054885822742812e-48,,2024-03-31,0
203053,2024-05-03,0.2857509402004726,0.31518177187051183,0.0,246301318259.40543,5244000000.0,1.6913075813024325e-41,1.6384149059915796e-47,,2024-03-31,0
203053,2024-05-10,0.2857509402004726,0.31490798262649017,0.0,247460888921.38242,5244000000.0,1.3329500053083353e-41,1.308869441664387e-47,,2024-03-31,0
203053,2024-05-17,0.2857509402004726,0.3122396986834784,0.0,247355748309.56497,5244000000.0,1.365504199676212e-41,1.5314830453025117e-47,,2024-03-31,0
203053,2024-05-24,0.2857509402004726,0.28644525169833013,0.0,235212599848.59033,5244000000.0,1.4230363411260274e-40,7.048573213173395e-46,,2024-03-31,0
203053,2024-05-31,0.2857509402004726,0.2834461671370191,0.0,234791051410.71783,5244000000.0,1.5579225885939246e-40,8.948863986957399e-46,,2024-03-31,0
203053,2024-06-07,0.2857509402004726,0.2864183056642696,0.0,237431123454.4028,5244000000.0,9.303832212830473e-41,4.418578572087866e-46,,2024-03-31,0
203053,2024-06-14,0.2857509402004726,0.2660467113026066,0.0,228046127941.74127,5244000000.0,6.721686220611393e-40,8.958414947226319e-45,,2024-03-31,0
203053,2024-06-21,0.2857509402004726,0.2741624464960169,0.0,233220278565.0897,5244000000.0,2.3964171525099245e-40,1.9809589939477476e-45,,2024-03-31,0
203053,2024-06-28,0.2537093720689672,0.37270079890282126,116908947081.42133,231002504874.65375,5244000000.0,1.3103423181751784e-50,9.159340605409413e-60,2022-07-01,2024-06-30,1
203053,2024-07-05,0.2537093720689672,0.36399037915688226,0.0,228466274032.27582,5244000000.0,2.4389049740277595e-50,3.253959131077752e-59,,2024-06-30,0
203053,2024-07-12,0.2537093720689672,0.3729519050226612,0.0,234167627476.66037,5244000000.0,5.725833897514898e-51,3.74932530324706e-60,,2024-06-30,0
203053,2024-07-19,0.2537093720689672,0.34551563578193334,0.0,222768928712.48816,5244000000.0,1.1166356315254842e-49,5.272582342159503e-58,,2024-06-30,0
203053,2024-07-26,0.2537093720689672,0.34557764970104565,0.0,224144165846.0879,5244000000.0,8.047070220161845e-50,3.555074577788641e-58,,2024-06-30,0
203053,2024-08-02,0.2537093720689672,0.31627786828968385,0.0,212066390744.93234,5244000000.0,2.2551877520246193e-48,7.253148702053355e-56,,2024-06-30,0
203053,2024-08-09,0.2537093720689672,0.32658081306525044,0.0,217926406241.63663,5244000000.0,4.7023046980538315e-49,6.9519217497315e-57,,2024-06-30,0
203053,2024-08-16,0.2537093720689672,0.3471711652577937,0.0,229011306386.51498,5244000000.0,2.5858337152638797e-50,8.187922740532613e-59,,2024-06-30,0
203053,2024-08-23,0.2537093720689672,0.3599368666083709,0.0,236825639759.47293,5244000000.0,3.6479705432766724e-51,4.191694295213387e-60,,2024-06-30,0
203053,2024-08-30,0.2537093720689672,0.3516748131927716,0.0,234082362752.7769,5244000000.0,7.409415446371753e-51,1.510390573013801e-59,,2024-06-30,0
203053,2024-09-06,0.2537093720689672,0.2921023720817739,0.0,206689147136.73102,5244000000.0,1.0655170218442723e-47,1.5766930687736488e-54,,2024-06-30,0
203053,2024-09-13,0.2537093720689672,0.29135175032551996,0.0,207380310626.04892,5244000000.0,9.304177544887111e-48,1.3450976623864647e-54,,2024-06-30,0
203053,2024-09-20,0.2537093720689672,0.2922989554601688,0.0,208857320953.5867,5244000000.0,6.126180496514354e-48,8.203481412302014e-55,,2024-06-30,0
203053,2024-09-27,0.2537093720689672,0.35323421189697113,0.0,240749717522.43082,5244000000.0,1.6926098938539272e-51,2.2355052808590022e-60,,2024-06-30,0
203053,2024-09-30,0.2703920755749549,0.30940305655415773,137908899689.24777,238004018637.23694,5244000000.0,3.128596234016029e-45,6.0712036204740054e-52,2022-10-01,2024-09-30,1
203053,2024-10-04,0.2703920755749549,0.29163358413386503,0.0,230823639388.2467,5244000000.0,1.5162052017333729e-44,9.054073972496067e-51,,2024-09-30,0
203053,2024-10-11,0.2703920755749549,0.2878740740148835,0.0,230187841013.39246,5244000000.0,1.7075823613566035e-44,1.2996133489907216e-50,,2024-09-30,0
203053,2024-10-18,0.2703920755749549,0.27586031489547524,0.0,225655183410.4491,5244000000.0,5.114050479214425e-44,7.559288240511114e-50,,2024-09-30,0
203053,2024-10-25,0.2703920755749549,0.2772353327602607,0.0,227344368690.6922,5244000000.0,3.4832373235610964e-44,4.649034284278272e-50,,2024-09-30,0
203053,2024-11-01,0.2703920755749549,0.26967564505992553,0.0,224808311924.5742,5244000000.0,6.064201187203532e-44,1.3050335057917083e-49,,2024-09-30,0
203053,2024-11-08,0.2703920755749549,0.26466524458749185,0.0,223437613155.14987,5244000000.0,8.450428223699038e-44,2.4001873965962824e-49,,2024-09-30,0
