gvkey,train_start,train_end,n_obs,window_idx,sigma_lo,sigma_med,sigma_hi,sigma_mean,mu_lo,mu_med,mu_hi,mu_mean,n_rejects
101336,2016-01-01,2017-12-31,105,8,0.1275051315965402,0.1452196027647277,0.16804518970509558,0.14582860185082422,-0.08656413639913865,0.1117675333444399,0.32077832859997457,0.11241657113371424,0
101336,2016-04-01,2018-03-31,105,9,0.11484933319492509,0.13048083178816056,0.15104379053112585,0.13091819172026556,-0.0920518121183804,0.07765552852535917,0.25192181607306124,0.07965280559476993,0
101336,2016-07-01,2018-06-30,105,10,0.1107293370836191,0.12565299156626714,0.14556751750957317,0.12650379684945706,-0.09826096615423467,0.0771545924489222,0.2555548504754796,0.07740145092840958,0
101336,2016-10-01,2018-09-30,104,11,0.11097228064370075,0.1273065187955041,0.145957024634204,0.1274600687648705,-0.16628953324086868,0.025132737179380207,0.2035049526134673,0.022988026131924556,0
101336,2017-01-01,2018-12-31,105,12,0.12244772604268739,0.13949052257902608,0.15989181920371445,0.13969860701286924,-0.24587694913957547,-0.059816532191528125,0.13281445389534927,-0.05817959320628041,0
101336,2017-04-01,2019-03-31,104,13,0.13052520420128974,0.14871007232833094,0.17344971648822535,0.14942159115338952,-0.22855324515705397,-0.023219346959462882,0.17146879111422286,-0.024508201103001632,0
101336,2017-07-01,2019-06-30,104,14,0.1330623785049709,0.15116429810587406,0.17411306153459333,0.15169717196557236,-0.18309625367755486,0.03099602282171945,0.24438643823226297,0.031484028046149276,0
101336,2017-10-01,2019-09-30,105,15,0.1371177604340754,0.15543103010820752,0.17922861936914075,0.15615481913431253,-0.20562520755777933,0.017857090867609036,0.25236434499412724,0.02038266308222451,0
101336,2018-01-01,2019-12-31,105,16,0.13853728493281067,0.15755552708154635,0.1807470735892303,0.15824416788787754,-0.14549315371185975,0.06553487286999629,0.2849663242422922,0.06756496963354096,0
101336,2018-04-01,2020-03-31,105,17,0.18427440356597358,0.2100630670873656,0.24219218280261975,0.210633069169498,-0.21653044647520217,0.08026923392526825,0.362989896892415,0.07952095628944847,0
101336,2018-07-01,2020-06-30,105,18,0.20111052910066235,0.22904875714301415,0.26282822966409664,0.23018285242930908,-0.15863074953666143,0.154315571528549,0.47142184269366366,0.15833965636444902,0
101336,2018-10-01,2020-09-30,105,19,0.1962887200888663,0.2235270602896521,0.256938917038764,0.2243543385868007,-0.11823034266958528,0.20663327340144605,0.5080408313498983,0.2052422490823141,0
101336,2019-01-01,2020-12-31,105,20,0.19744769173550272,0.22449692800926313,0.2571229636855235,0.22532628952488276,-0.007221989181287977,0.28688228442945696,0.5966306635466956,0.2889015768446573,0
101336,2019-04-01,2021-03-31,105,21,0.1999313317820819,0.22740635604720177,0.25979778648782187,0.2280087373203311,-0.036971490717148794,0.27519140143319865,0.6092831644355792,0.2770085421946411,0
101336,2019-07-01,2021-06-30,105,22,0.1974057472350679,0.22464422887653784,0.2594513466621208,0.22561369825653704,-0.05543414008305959,0.24372462088153468,0.5589303461567462,0.24239184988557178,0
101336,2019-10-01,2021-09-30,105,23,0.19473322362024986,0.22311912030271597,0.2569110217706563,0.223334497978186,-0.02683003926312399,0.27400832279791565,0.579220637083122,0.2752296847895767,0
101336,2020-01-01,2021-12-31,105,24,0.20195416243083117,0.22909862647380091,0.26360306433911984,0.2299088404259378,-0.019647739169651048,0.28079339265389475,0.5880675058383912,0.28263751623112476,0
101336,2020-04-01,2022-03-31,105,25,0.16932466350883765,0.19371919791935427,0.22297928758047977,0.1945383638593832,0.015302302507028997,0.28843247262705185,0.5613165511701713,0.2893690761458489,0
