date,window_idx,ok,msg,window_train_start,window_train_end,window_oos_start,window_oos_end,gvkey,A_hat_oos,theta_oos,L_proxy,PD_P,PD_Q,alpha,beta1,delta,beta0,em_converged,em_n_iter
2015-02-27,3,True,ok,2013-01-04,2014-12-26,2015-01-02,2015-03-27,220940,100019859559.54315,-12.525978405415508,56703000000.0,6.0813339542967524e-15,1.4479174406651015e-11,162.10747819384687,49.140108238145466,1.1259423210854889,-0.26728356965444566,True,3.0
2015-03-06,3,True,ok,2013-01-04,2014-12-26,2015-01-02,2015-03-27,220940,99094317477.16995,-12.498696905209414,56703000000.0,1.4307438699706776e-14,2.991435024089723e-11,162.10747819384687,49.140108238145466,1.1259423210854889,-0.26728356965444566,True,3.0
2015-03-13,3,True,ok,2013-01-04,2014-12-26,2015-01-02,2015-03-27,220940,97662870899.37238,-12.52719172634724,56703000000.0,5.338238373965456e-14,9.482019833667285e-11,162.10747819384687,49.140108238145466,1.1259423210854889,-0.26728356965444566,True,3.0
2015-03-20,3,True,ok,2013-01-04,2014-12-26,2015-01-02,2015-03-27,220940,96280172322.40192,-12.514860014292815,56703000000.0,1.8888021443139324e-13,2.7966971056717265e-10,162.10747819384687,49.140108238145466,1.1259423210854889,-0.26728356965444566,True,3.0
2015-03-27,3,True,ok,2013-01-04,2014-12-26,2015-01-02,2015-03-27,220940,96702533912.36032,-12.542391845927526,56703000000.0,1.2851293254711376e-13,2.0380766624691716e-10,162.10747819384687,49.140108238145466,1.1259423210854889,-0.26728356965444566,True,3.0
2015-04-03,4,True,ok,2013-04-05,2015-03-27,2015-04-03,2015-06-26,220940,96805718589.12267,-15.191611096998649,56703000000.0,1.9981118086487454e-14,1.8092933497101422e-10,184.32846358897964,65.67269039147703,1.2536089122637761,-0.3633366645739845,False,10.0
2015-04-10,4,True,ok,2013-04-05,2015-03-27,2015-04-03,2015-06-26,220940,97785943995.30733,-15.222328696778675,56703000000.0,7.824071807570994e-15,8.373919431678296e-11,184.32846358897964,65.67269039147703,1.2536089122637761,-0.3633366645739845,False,10.0
2015-04-17,4,True,ok,2013-04-05,2015-03-27,2015-04-03,2015-06-26,220940,97674597536.46886,-15.240354128734786,56703000000.0,8.705459850702096e-15,9.251097899880856e-11,184.32846358897964,65.67269039147703,1.2536089122637761,-0.3633366645739845,False,10.0
2015-04-24,4,True,ok,2013-04-05,2015-03-27,2015-04-03,2015-06-26,220940,97887207011.7355,-15.211558063000489,56703000000.0,7.099850534697337e-15,7.671565136118783e-11,184.32846358897964,65.67269039147703,1.2536089122637761,-0.3633366645739845,False,10.0
2015-05-01,4,True,ok,2013-04-05,2015-03-27,2015-04-03,2015-06-26,220940,95894503292.06593,-15.197694484416594,56703000000.0,4.755477109278437e-14,3.752048442601717e-10,184.32846358897964,65.67269039147703,1.2536089122637761,-0.3633366645739845,False,10.0
2015-05-08,4,True,ok,2013-04-05,2015-03-27,2015-04-03,2015-06-26,220940,95977857369.92639,-15.206618010205354,56703000000.0,4.3936695413016604e-14,3.528506626619834e-10,184.32846358897964,65.67269039147703,1.2536089122637761,-0.3633366645739845,False,10.0
2015-05-15,4,True,ok,2013-04-05,2015-03-27,2015-04-03,2015-06-26,220940,94478569175.79277,-15.170090835051916,56703000000.0,1.8129419022918522e-13,1.1298047173282808e-09,184.32846358897964,65.67269039147703,1.2536089122637761,-0.3633366645739845,False,10.0
2015-05-22,4,True,ok,2013-04-05,2015-03-27,2015-04-03,2015-06-26,220940,95521222795.20238,-15.192101454348162,56703000000.0,6.774737716865922e-14,5.028499463291057e-10,184.32846358897964,65.67269039147703,1.2536089122637761,-0.3633366645739845,False,10.0
