date,r_1y
2010-09-03,0.004626530593553142
2010-09-06,0.004616068501003112
2010-09-07,0.004385489493796218
2010-09-08,0.004608021024141431
2010-09-09,0.0049163820833373765
2010-09-10,0.005105364533257209
2010-09-13,0.005241387912120783
2010-09-14,0.005138765216085823
2010-09-15,0.005343196612747749
2010-09-16,0.005746762599056638
2010-09-17,0.005580788722485348
2010-09-20,0.0056930076174852955
2010-09-21,0.005666655092057849
2010-09-22,0.005552754665759212
2010-09-23,0.005213384018691136
2010-09-24,0.005342675060850288
2010-09-27,0.005560107979579396
2010-09-28,0.005577578808890926
2010-09-29,0.005937866080739089
2010-09-30,0.006759269693689234
2010-10-01,0.007131149366692953
2010-10-04,0.006636840171250397
2010-10-05,0.006592850558004304
2010-10-06,0.006435088321706679
2010-10-07,0.0066397117332205125
