date,market_cap,debt_face,rf,A_oos_mean,A_oos_median,A_oos_q05,A_oos_q95,theta_oos_mean,theta_oos_median,theta_oos_q05,theta_oos_q95,PD_P_mean,PD_P_median,PD_P_q05,PD_P_q95,PD_Q_mean,PD_Q_median,PD_Q_q05,PD_Q_q95,gvkey,window_train_start,window_train_end,window_oos_start,window_oos_end,window_idx
2016-07-01,40809254336.840004,129410000000.0,-0.006520102512182806,208957484311.79193,171059478988.3881,171048421323.97278,171064125070.73083,3.465358730269575,3.3928174533325683,-9.556791666321555,15.910952413171174,0.01788383660438088,0.00450689018738798,4.730942508382034e-05,0.08460822802261321,0.0020772231900016334,0.001847693624907072,0.0005857184490224611,0.004300306687857424,100022,2014-07-04,2016-06-24,2016-07-01,2016-09-30,2.0
2016-07-08,41200551214.24,129410000000.0,-0.006736888254060118,209386727161.81482,171479520252.82935,171469131815.71307,171483821518.90808,3.439672536884399,3.3654868703579623,-9.583789090032253,15.885420678163653,0.01695917541843427,0.0041639035366781195,4.218663362275546e-05,0.08068721845445995,0.0019306974101299234,0.0017101280776796008,0.0005326545847408276,0.00403129930492061,100022,2014-07-04,2016-06-24,2016-07-01,2016-09-30,2.0
2016-07-15,44944961333.36,129410000000.0,-0.006551731690406832,244175138707.28683,175203090763.00696,175197589801.1472,175205063208.83633,3.461611110070297,3.3888299407123923,-9.560730611082805,15.907227345936075,0.010465918674907636,0.0019982992632446646,1.5060175654678299e-05,0.051994382084258155,0.0009288021625298494,0.0007847395650171652,0.00020479699187548665,0.002107299142234892,100022,2014-07-04,2016-06-24,2016-07-01,2016-09-30,2.0
2016-07-22,45450637298.0,129410000000.0,-0.006313785077396439,244627711910.61496,175678050832.88547,175673028052.13992,175679819883.98923,3.4898043935686367,3.4188277267841305,-9.531097863225945,15.935250817673598,0.00982600596989836,0.0018146118031831622,1.3181273652305023e-05,0.04904305162182739,0.0008383091642921081,0.0007030713689342226,0.00017895068234814737,0.0019233334479238301,100022,2014-07-04,2016-06-24,2016-07-01,2016-09-30,2.0
2016-07-29,46383729851.799995,129410000000.0,-0.006389155644443183,245570952646.83093,176621383766.9229,176617121478.0753,176622835218.13156,3.4808740800559486,3.4093258822111263,-9.540484164912849,15.926374329060708,0.008660150582792661,0.0014976515655890713,1.0101798770589459e-05,0.04358092637226404,0.0006963888173169595,0.0005759532111765612,0.00014008600657421935,0.001629994584608809,100022,2014-07-04,2016-06-24,2016-07-01,2016-09-30,2.0
2016-08-05,46907465672.32,129410000000.0,-0.006410756428835769,246095989404.86887,177148137946.1526,177144253133.8767,177149433693.1375,3.4783146977309487,3.406602693284554,-9.543174225445766,15.923830366444452,0.008065826607741536,0.001343629172017649,8.700055664031283e-06,0.040586531783410824,0.0006270610977463966,0.000514416330036411,0.00012193411336539705,0.0014841852528203288,100022,2014-07-04,2016-06-24,2016-07-01,2016-09-30,2.0
2016-08-12,47936877457.479996,129410000000.0,-0.006440386896702876,247125188519.90228,178181749014.90967,178178516734.6887,178182783463.82397,3.4748039103057273,3.4028672007391965,-9.546864264278298,15.920340726213201,0.0070073308133322765,0.0010905124819276589,6.571700915744666e-06,0.03521909513781278,0.0005096146454197596,0.0004112853475846735,9.25998120766176e-05,0.0012327031650675216,100022,2014-07-04,2016-06-24,2016-07-01,2016-09-30,2.0
2016-08-19,46546268554.71999,129410000000.0,-0.006291722503460675,245711992505.86343,176771301781.28864,176767164307.38232,176772701473.3988,3.4924184826062024,3.4216091059392246,-9.528350291108206,15.937849144645632,0.008487026503862247,0.0014522030190085187,9.681882768683979e-06,0.04271017142292137,0.0006734489474243111,0.0005555669654800572,0.00013401986710515762,0.0015819260232977073,100022,2014-07-04,2016-06-24,2016-07-01,2016-09-30,2.0
2016-08-26,46492088987.08,129410000000.0,-0.0062981295314113875,245659495469.59406,176717934626.07516,176713756976.6296,176719350961.11664,3.4916593446615374,3.4208013869467178,-9.52914819314283,15.93709458434223,0.008548285528991463,0.0014682308390250084,9.829377069765594e-06,0.04301843079988196,0.0006808447187829532,0.0005621397602563389,0.00013596986236686208,0.001597439238603157,100022,2014-07-04,2016-06-24,2016-07-01,2016-09-30,2.0
2016-09-02,47298762549.71999,129410000000.0,-0.006461880961507811,246495601708.98047,177546231379.58545,177542606714.31427,177547421735.07675,3.4722571682579435,3.4001574519502604,-9.54954103318123,15.91780932116971,0.007641829903175667,0.0012372675284020387,7.768341192126775e-06,0.03844169891807568,0.0005798558775586272,0.0004727666787697264,0.00010991761953843389,0.0013838350229450115,100022,2014-07-04,2016-06-24,2016-07-01,2016-09-30,2.0
