date,market_cap,debt_face,rf,A_train_mean,A_train_median,A_train_q05,A_train_q95,theta_train_mean,theta_train_median,theta_train_q05,theta_train_q95,logA_train_median,dlogA_train_median,alpha_post_mean,beta1_post_mean,delta_post_mean,beta0_post_mean,alpha_post_median,beta1_post_median,delta_post_median,beta0_post_median,gvkey,window_train_start,window_train_end,window_idx
2015-07-03,59537324884.4,117366000000.0,-0.00271000448128766,189547507905.1852,189547507905.18417,189547507905.18417,189547507905.18417,2.057540350573474,2.8206856261662807,-10.378840563943571,13.481511122836759,25.96790553139518,-0.01425641834661917,183.49850585070462,-14.154640773362296,1.49466349983555,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,100022,2014-04-04,2016-03-25,1.0
2015-07-10,57309942659.200005,117366000000.0,-0.0028624652795235773,187344875788.42194,187344875788.42227,187344875788.42227,187344875788.42227,2.038793070390651,2.8057003747137,-10.393412775401366,13.46631338315033,25.95621701080284,-0.011688520592340268,183.49850585070462,-14.154640773362296,1.49466349983555,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,100022,2014-04-04,2016-03-25,1.0
2015-07-17,57538700833.68,117366000000.0,-0.002900279842478238,187575744451.69345,187575744451.69324,187575744451.69324,187575744451.69324,2.034143316525588,2.801983735839814,-10.397027060619727,13.462543985322373,25.95744857119183,0.001231560388990971,183.49850585070462,-14.154640773362296,1.49466349983555,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,100022,2014-04-04,2016-03-25,1.0
2015-07-24,55166839761.44,117366000000.0,-0.0027894960759879918,185169456568.0366,185169456568.0354,185169456568.0354,185169456568.0354,2.0477656194966736,2.812872359635749,-10.38643840134882,13.473587112043196,25.944537224218568,-0.012911346973261573,183.49850585070462,-14.154640773362296,1.49466349983555,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,100022,2014-04-04,2016-03-25,1.0
2015-07-31,54962161394.799995,117366000000.0,-0.0029062925276816167,184983288214.732,184983288214.731,184983288214.731,184983288214.731,2.0334039884059742,2.8013927781478287,-10.397601746987606,13.461944636672262,25.94353132396995,-0.001005900248618019,183.49850585070462,-14.154640773362296,1.49466349983555,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,100022,2014-04-04,2016-03-25,1.0
2015-08-07,55913313804.479996,117366000000.0,-0.0030009562957898804,185949526272.70554,185949526272.70657,185949526272.70657,185949526272.70657,2.021764130714203,2.7920889003459752,-10.406649570713997,13.452508577487729,25.94874110970847,0.005209785738522044,183.49850585070462,-14.154640773362296,1.49466349983555,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,100022,2014-04-04,2016-03-25,1.0
2015-08-14,51861886135.4,117366000000.0,-0.0029242938774928363,181867471703.50012,181867471703.50067,181867471703.50067,181867471703.50067,2.0311905233676457,2.799623520200605,-10.39932229581775,13.460150253715925,25.92654408131994,-0.022197028388532658,183.49850585070462,-14.154640773362296,1.49466349983555,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,100022,2014-04-04,2016-03-25,1.0
2015-08-21,48237875055.479996,117366000000.0,-0.0028004841279139713,178200390561.85352,178200390561.85385,178200390561.85385,178200390561.85385,2.046414480781457,2.811792356019886,-10.387488639078523,13.472491792624279,25.906174543685847,-0.02036953763409244,183.49850585070462,-14.154640773362296,1.49466349983555,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,100022,2014-04-04,2016-03-25,1.0
2015-08-28,49929481556.24,117366000000.0,-0.002702635304728821,179872048909.12488,179872048909.12436,179872048909.12436,179872048909.12436,2.0584465144950466,2.8214099571066544,-10.378136212279093,13.482245715224531,25.915511595676755,0.009337051990907952,183.49850585070462,-14.154640773362296,1.49466349983555,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,100022,2014-04-04,2016-03-25,1.0
2015-09-04,48352254142.71999,117366000000.0,-0.0028864087493261094,178321440310.4198,178321440310.4192,178321440310.4192,178321440310.4192,2.035848929175391,2.803347063149042,-10.395701274314462,13.463926668189282,25.906853603102324,-0.008657992574431006,183.49850585070462,-14.154640773362296,1.49466349983555,0.09211341050005618,152.53046729388325,-14.074638593536818,1.1587325066598373,0.08981515263346178,100022,2014-04-04,2016-03-25,1.0
