gvkey,date,alpha,beta,delta,mu,A_used,L_used,PD_1y,train_end_date,training_end
221616,2017-02-03,11.63266258474356,0.0015479510064471916,0.003432331574561998,0.002180939843494463,181392494824.5088,105770000000.0,0.00010413728405497291,2016-12-31,0
221616,2017-02-10,11.63266258474356,0.0015479510064471916,0.003432331574561998,0.002180939843494463,181190933993.91388,105770000000.0,0.00010568857061222291,2016-12-31,0
221616,2017-02-17,11.63266258474356,0.0015479510064471916,0.003432331574561998,0.002180939843494463,180810161053.4748,105770000000.0,0.00010868796308323232,2016-12-31,0
221616,2017-02-24,11.63266258474356,0.0015479510064471916,0.003432331574561998,0.002180939843494463,183572389562.4381,105770000000.0,8.885079192644282e-05,2016-12-31,0
221616,2017-03-03,11.63266258474356,0.0015479510064471916,0.003432331574561998,0.002180939843494463,182310069853.37152,105770000000.0,9.738070227903737e-05,2016-12-31,0
221616,2017-03-10,11.63266258474356,0.0015479510064471916,0.003432331574561998,0.002180939843494463,185844484529.7776,109640000000.0,0.00012166386074476042,2016-12-31,0
221616,2017-03-17,11.63266258474356,0.0015479510064471916,0.003432331574561998,0.002180939843494463,185902953102.91553,109640000000.0,0.00012115525014581141,2016-12-31,0
221616,2017-03-24,11.63266258474356,0.0015479510064471916,0.003432331574561998,0.002180939843494463,186029304843.74692,109640000000.0,0.0001200639899060364,2016-12-31,0
221616,2017-03-31,11.50587136587406,0.001263555038518934,0.0029078087278097222,0.0007745097295260654,187276372777.54053,109640000000.0,0.0002103573324402387,2017-03-31,1
221616,2017-04-07,11.50587136587406,0.001263555038518934,0.0029078087278097222,0.0007745097295260654,186203420381.02838,109640000000.0,0.00022729415531762897,2017-03-31,0
221616,2017-04-14,11.50587136587406,0.001263555038518934,0.0029078087278097222,0.0007745097295260654,185646806284.71832,109640000000.0,0.00023665990629315019,2017-03-31,0
221616,2017-04-21,11.50587136587406,0.001263555038518934,0.0029078087278097222,0.0007745097295260654,185033021413.8379,109640000000.0,0.0002474766433392627,2017-03-31,0
221616,2017-04-28,11.50587136587406,0.001263555038518934,0.0029078087278097222,0.0007745097295260654,185782452935.31433,109640000000.0,0.0002343394313093034,2017-03-31,0
221616,2017-05-05,11.50587136587406,0.001263555038518934,0.0029078087278097222,0.0007745097295260654,188133936290.6104,109640000000.0,0.00019780648429682215,2017-03-31,0
221616,2017-05-12,11.50587136587406,0.001263555038518934,0.0029078087278097222,0.0007745097295260654,192448328861.3932,109640000000.0,0.00014586695880357384,2017-03-31,0
221616,2017-05-19,11.50587136587406,0.001263555038518934,0.0029078087278097222,0.0007745097295260654,193652648830.25085,109640000000.0,0.0001341679209891876,2017-03-31,0
221616,2017-05-26,11.50587136587406,0.001263555038518934,0.0029078087278097222,0.0007745097295260654,194193582363.47745,109640000000.0,0.0001292486233840514,2017-03-31,0
221616,2017-06-02,11.50587136587406,0.001263555038518934,0.0029078087278097222,0.0007745097295260654,191756363322.88147,109640000000.0,0.00015308708861521694,2017-03-31,0
221616,2017-06-09,11.50587136587406,0.001263555038518934,0.0029078087278097222,0.0007745097295260654,190562872287.31873,109640000000.0,0.00016646996607108165,2017-03-31,0
221616,2017-06-16,11.50587136587406,0.001263555038518934,0.0029078087278097222,0.0007745097295260654,188473144993.01978,109640000000.0,0.00019306875463333153,2017-03-31,0
221616,2017-06-23,11.50587136587406,0.001263555038518934,0.0029078087278097222,0.0007745097295260654,188304232470.16492,109640000000.0,0.0001954123492649157,2017-03-31,0
221616,2017-06-30,11.404412650452352,0.0013615827719800923,0.0025853493587805762,0.0010251953400326932,185208008100.3048,109640000000.0,0.0001660726875078614,2017-06-30,1
221616,2017-07-07,11.404412650452352,0.0013615827719800923,0.0025853493587805762,0.0010251953400326932,184508170010.74167,109640000000.0,0.00017475457181201506,2017-06-30,0
221616,2017-07-14,11.404412650452352,0.0013615827719800923,0.0025853493587805762,0.0010251953400326932,185824281661.44504,109640000000.0,0.0001588155799048202,2017-06-30,0
221616,2017-07-21,11.404412650452352,0.0013615827719800923,0.0025853493587805762,0.0010251953400326932,184568439229.8294,109640000000.0,0.00017398778274628997,2017-06-30,0
221616,2017-07-28,11.404412650452352,0.0013615827719800923,0.0025853493587805762,0.0010251953400326932,184523882333.04657,109640000000.0,0.00017455431413876754,2017-06-30,0
221616,2017-08-04,11.404412650452352,0.0013615827719800923,0.0025853493587805762,0.0010251953400326932,185422000259.05536,109640000000.0,0.00016351263719175806,2017-06-30,0
221616,2017-08-11,11.404412650452352,0.0013615827719800923,0.0025853493587805762,0.0010251953400326932,184242490588.3828,109640000000.0,0.0001781788861445261,2017-06-30,0
221616,2017-08-18,11.404412650452352,0.0013615827719800923,0.0025853493587805762,0.0010251953400326932,184292145997.74683,109640000000.0,0.00017753337088916702,2017-06-30,0
221616,2017-08-25,11.404412650452352,0.0013615827719800923,0.0025853493587805762,0.0010251953400326932,183314527627.5022,109640000000.0,0.00019072483136041784,2017-06-30,0
221616,2017-09-01,11.404412650452352,0.0013615827719800923,0.0025853493587805762,0.0010251953400326932,182433560166.48853,109640000000.0,0.00020353001434794888,2017-06-30,0
221616,2017-09-08,11.404412650452352,0.0013615827719800923,0.0025853493587805762,0.0010251953400326932,182066877178.56128,109640000000.0,0.00020913334735445856,2017-06-30,0
